tittle,text,domain,topic
Th? tu?ng Abe cúi d?u xin l?i vì hành d?ng phi th? thao c?a tuy?n Nh?t," Theo Sankei Sports, sáng nay Th? tu?ng Nh?t B?n Shinzo Abe công khai g?i l?i xin l?i t?i Nh?t hoàng và toàn b? ngu?i dân vì tinh th?n thi d?u phi th? thao c?a d?i tuy?n Nh?t t?i World Cup 2018.T?i qua, sau lu?t tr?n cu?i vòng b?ng World Cup 2018, Nh?t B?n có cùng ch? s? ph? nhu Senegal, d?i b? lo?i sau khi thua Colombia. Nhung Nh?t B?n vào vòng sau nh? ch? s? fair-play vì nh?n ít th? ph?t hon",binhluan.biz,Th? thao 
Th? tu?ng Nh?t cúi d?u xin l?i vì tinh th?n phi th? thao c?a d?i bóng,"Sáng 19/6, Th? tu?ng Nh?t B?n Shinzo Abe công khai g?i l?i xin l?i t?i Nh?t hoàng và toàn b? ngu?i dân vì tinh th?n thi d?u phi th? thao c?a d?i tuy?n Nh?t t?i World Cup 2018.",www.ipick.vn,Th? thao
Choáng! Co tru?ng deo khan quàng qu?y banh nóc trên sân kh?u tru?ng!!!,"Choáng! Co tru?ng deo khan quàng qu?y banh nóc trên sân kh?u tru?ng!!!
 Xót xa hình ?nh th?y trò l?i bùn bang r?ng d?n tru?ng ? Ngh? An
 Sau lu, nhi?u h?c sinh vùng cao và giáo viên ? Ngh? An ph?i d?i m?t v?i thi?u th?n vì giao thông b? chia c?t, co s? v?t ch?t b? lu cu?n trôi.",tintucqpvn.net,Ð?i s?ng 
Chua bao gi? nh?c Kpop l?i d? hát d?n th?!!!,"Chua bao gi? nh?c Kpop l?i d? hát d?n th?!!!
 Giáo su Nguy?n Lân Dung: ‘Con tôi thành d?t nh? cách dánh v?n ‘ô vuông tam giác’
 GS.Nguy?n Lân Dung kh?ng d?nh: Con ông, PGS.TS Nguy?n Lân Hi?u thành công nh? phuong pháp h?c ti?ng Vi?t c?a GS H? Ng?c Ð?i.",tintucqpvn.net,Gi?i trí 
Ð?i h?c Hutech s? áp d?ng c?i cách "Ti?q Vi?t" vào nam h?c 2018?," M?i dây, ông Ph?m Ng?c Thanh, Phó giám d?c S? GD – ÐT Tp. H? Chí Minh chuyên trách v? H? giáo d?c Ð?i h?c t?i thành ph? dã lên ti?ng v? v?n d? c?i cách ti?ng Ti?ng Vi?t c?a PGS.TS Bùi Hi?n.",www.gioitreviet.net,Giáo d?c 
"Cu?i v? b?ng khi ti?ng C?I CÁCH ""vuông tròn"" xâm nh?p ch? búa, các m? s? d?ng chuyên nghi?p"," Nh?ng ngày qua, các ph? huynh liên t?c chia s? các clip con h?c t?p d?c v?i phuong pháp m?i, d?c tho qua các hình tam giác, ô vuông mà không dánh v?n ch?.
 H?c máy móc, r?c r?i?",giadinhtiepthi.com,Giáo d?c 
"Chia s? th?ng th?n v? vi?c 25000 USD và c?i cách giáo d?c, r?t c?c là “sân si” hay là “ganh t?”"," Nh?ng ngày qua, trên m?ng xã h?i các ph? huynh liên t?c chia s? các clip con h?c t?p d?c v?i phuong pháp m?i, d?c tho qua các hình tam giác, ô vuông mà không dánh v?n ch? và clip nh?ng hoa h?u á h?u , mc bán dâm...",giadinhtiepthi.com,Giáo d?c 
H?i não v?i V?ng C? mang tên Vuông Tròn Tam Giác!," Chuong trình công ngh? giáo d?c: Hãy tôn tr?ng s? khác bi?t !
 Trong “con bão” tranh lu?n v? chuong trình công ngh? giáo d?c nh?ng ngày v?a qua, có nh?ng ngu?i t?ng là “s?n ph?m” c?a chuong trình này dã lên ti?ng. Chính h? là ngu?i dã tr?i nghi?m du?c chuong trình này nhu th? nào, t?t hay không t?t d?i v?i b?n thân mình.",tintucqpvn.net,Giáo d?c 
"Kinh hoàng bé gái b? chó nhà t?n công, c?n vào kh?p ngu?i gây ph?n n?"," Chi?u 11.9, t?i bu?i giao ban báo chí Thành ?y Hà N?i, tru?c ph?n ?nh c?a báo chí v? th?c tr?ng ph? di b? xung quanh h? Hoàn Ki?m v?n xu?t hi?n chó không r? mõm m?c dù theo quy d?nh vi?c này b? c?m, Phó Ch? t?ch UBND qu?n Hoàn Ki?m Ðinh H?ng Phong th?a nh?n tình tr?ng trên. “Chúng tôi r?t nh?c v?i câu chuy?n chó không r? mõm khi di vào ph? di b?” – ông Phong nói.",tintucqpvn.net,Ð?i s?ng 
B?c v? giúp b?n dánh giá m?c d? stress c?a b?n thân," Nhìn b?c tranh, b?n có th? th?y vòng tròn dang chuy?n d?ng m?t cách ch?m rãi. Ngu?i khác l?i cho bi?t h? th?y hình ?nh chuy?n d?ng r?t nhanh và dau d?u khi nhìn chúng quá lâu",suckhoe.vnexpress.net,Y t? 
KH?N C?P: Hàng lo?t tr? em nh?p vi?n vì ng? d?c th?t l?n có ch?a thu?c an th?n," Xét nghi?m ban d?u t? các tr? nh?p vi?n cho th?y các bé d?u có d?u hi?u b? ng? d?c v?i ch?t acepromazin, dây là ch?t có trong thu?c an th?n thu?ng du?c tiêm cho heo tru?c khi m?. Hi?n dã có 63 tr? nh?p vi?n trong tình tr?ng nguy hi?m, s? lu?ng các tr? nh?p vi?n c?p c?u ngày m?t tang cao.",phapluat.news,Y t? 
"Không d? ti?n tiêu h?y, Chi c?c Thú y d? ngh? Th?o C?m Viên mua l?i chó hoang làm m?i cho su t?"," Sáng ngày 28/9, theo ngu?n tin riêng t? UBND Thành ph?. Chi c?c Thú y v?a có van b?n d? ngh? xem xét phuong án m?i v? vi?c tiêu h?y chó vô ch? b? b?t trong th?i gian qua",phapluat.news,Ð?i s?ng 
KH?N C?P: Xu?t hi?n xe b?t chó gi? ? TP.HCM," Su?t nhi?u ngày qua l?c lu?ng san b?t chó dã di tu?n tra r?ng kh?p nhi?u qu?n, b?t du?c nhi?u chú chó ch?y rông v? chi c?c. Tuy nhiên, ngày 13/9 co quan Công an qu?n Bình Tân cho bi?t v?a b?t du?c d?i tu?ng gi? m?o d?i san b?t chó c?a Chi c?c Thú y TP.HCM.",autoxe.net,An ninh 
Ð? xu?t c?m t?t c? công ch?c Hà N?i d? xang t?i tr?m xang Nh?t," Theo m?t ngu?n tin, chi?u ngày 11/10 UBND TP.Hà N?i nh?n du?c công van c?a Hi?p h?i các doanh nghi?p xang d?u t?i Hà N?i v? v?n d? s? d?ng xang d?u trên d?a bàn. T?ng giám d?c Công ty Xang d?u IQ8 có m?t t?i tr?m xang d?u Thang Long, ông d?i mua hàng ti?ng d?ng h?, cúi chào khách vào d? xang.",phapluat.news,Chính tr? 
"Thanh niên 24 b?ng hóa ngu?i r?n sau 1 dêm, da d? n?t toác den xì ai nhìn cung hã-i","Ch? m?i 3 tháng phát b?nh, nam thanh niên di?n trai b?ng tr? thành “ngu?i r?n” v?i làn da n?t toát den xì. Hoàn c?nh nghèo túng l?i m?c c?m vì b?nh t?t, chàng trai 24 tu?i không ch?u an u?ng nên thân hình càng g?y còm dáng s?.",tintucqpvn.net,Ð?i s?ng 
5 m?o 'th?n thánh' dánh bay m?n trong m?t dêm," N?u b?n c?n m?t phuong pháp tr? m?n nhanh chóng, hi?u qu? và an toàn ch? trong m?t dêm thì dây là nh?ng m?o 'th?n thánh' b?n c?n n?m gi?.
 Ðánh bay m?n b?ng kem dánh rang",thegioitre.vn,Y t? 
"Dân tình ""tá h?a"" v?i hình ?nh ""mát m?"", phì phèo thu?c lá c?a Erik sau bao nhiêu nam làm ""trai ngoan""","Gi?ng ca ""Sau t?t c?"" dã chán hình ?nh kín dáo và quy?t d?nh n?i lo?n hon trong tuong lai.
 Sau m?t th?i gian t?p trung cho các d? án cá nhân, m?i dây, Erik dã tung b? ?nh m?i theo phong cách nam tính, b?i b?m nhung v?n gi? du?c v? di?n trai, nam th?n v?n có. ",thegioitre.vn,Gi?i trí 
Hollywood s? làm siêu ph?m v? T?t M?u Thân 1968 ? Hu??," Ð?o di?n Michael Mann dã g?p nguyên t?ng biên t?p báo Thanh Niên Nguy?n Công Kh? và d?o di?n Nguy?n Trung Tr?c (ch?ng ca si Tr?nh Vinh Trinh- em nh?c si Tr?nh Công Son), d? bàn v? vi?c h?p tác d?ch v? th?c hi?n phim Hu? 1968 - 8 t?p.",www.ipick.vn,Gi?i trí 
Ho? s? khuy?t t?t Lê Minh Châu tr? thành ngu?i Vi?t d?u tiên có tên trên Ð?i l? Danh v?ng Hollywood, H?a si khuy?t t?t Lê Minh Châu v?a chia s? t?m ?nh anh ch?p cùng v?i m?t ngôi sao du?c g?n trên Ð?i l? Danh v?ng ? Hollywood v?i dòng ch?: Chau Beyond The Lines.,baoangiang.com.vn,Ð?i s?ng 
